WORD	ANNOTATOR_ID	RELEVANCE	VALENCE	AROUSAL	EXPRESSED_MORAL
preserving	B235DDECAE2B238D44A78658FB2FD532	1	6	5	7
wrecked	5F42BCE5CA70C6DDA097F36509A48299	2	5	5	5
assassin	262409BDF797CBCE4879235E26239572	1	2	7	1
wrecked	B235DDECAE2B238D44A78658FB2FD532	1	2	5	2
disgusted	5F42BCE5CA70C6DDA097F36509A48299	1	4	5	3
assassin	B235DDECAE2B238D44A78658FB2FD532	1	1	5	1
healthcare	D99C5B53A9E5C66EBB54778750BB0CFB	2	5	5	5
critically	D99C5B53A9E5C66EBB54778750BB0CFB	1	4	6	4
collateral	5F42BCE5CA70C6DDA097F36509A48299	2	5	5	5
broken	D99C5B53A9E5C66EBB54778750BB0CFB	2	5	5	5
healthcare	B235DDECAE2B238D44A78658FB2FD532	1	6	6	8
assassin	D99C5B53A9E5C66EBB54778750BB0CFB	1	1	6	1
leverage	B235DDECAE2B238D44A78658FB2FD532	2	5	5	5
intrusive	262409BDF797CBCE4879235E26239572	1	3	6	3
dignity	B235DDECAE2B238D44A78658FB2FD532	2	5	5	5
abuse	262409BDF797CBCE4879235E26239572	1	2	7	2
destruction	D99C5B53A9E5C66EBB54778750BB0CFB	1	2	6	1
exempt	D99C5B53A9E5C66EBB54778750BB0CFB	2	5	5	5
intrusive	B235DDECAE2B238D44A78658FB2FD532	1	3	5	3
broken	262409BDF797CBCE4879235E26239572	1	2	7	2
quarrel	D99C5B53A9E5C66EBB54778750BB0CFB	1	1	6	1
collateral	262409BDF797CBCE4879235E26239572	1	1	7	1
preserving	D99C5B53A9E5C66EBB54778750BB0CFB	1	7	4	8
bang	B235DDECAE2B238D44A78658FB2FD532	2	5	5	5
disgusted	262409BDF797CBCE4879235E26239572	1	4	7	3
disgusted	B235DDECAE2B238D44A78658FB2FD532	2	5	5	5
critically	262409BDF797CBCE4879235E26239572	1	4	5	4
opponent	262409BDF797CBCE4879235E26239572	2	5	5	5
quarrel	B235DDECAE2B238D44A78658FB2FD532	1	1	5	2
annihilation	262409BDF797CBCE4879235E26239572	1	2	7	1
refuge	B235DDECAE2B238D44A78658FB2FD532	2	5	5	5
leverage	262409BDF797CBCE4879235E26239572	2	5	5	5
exempt	262409BDF797CBCE4879235E26239572	2	5	5	5
bang	262409BDF797CBCE4879235E26239572	1	2	7	1
bang	0A828669E7EE548539ACC3852B37A368	1	3	7	1
safeguard	864C97282747D4BEB83D96B29067CE10	1	9	3	9
ravage	864C97282747D4BEB83D96B29067CE10	1	4	4	1
safehold	864C97282747D4BEB83D96B29067CE10	1	7	2	9
endangered	864C97282747D4BEB83D96B29067CE10	1	4	4	1
violence	864C97282747D4BEB83D96B29067CE10	1	4	4	1
guard	15E79E1BDCA40241D5FE6651A2077621	1	7	7	8
cruelly	15E79E1BDCA40241D5FE6651A2077621	1	1	9	1
protection	15E79E1BDCA40241D5FE6651A2077621	1	8	3	8
hurt	1D420B59E8FA52FA98B2C1025327A784	1	4	7	6
abuse	15E79E1BDCA40241D5FE6651A2077621	1	1	9	1
compassion	1D420B59E8FA52FA98B2C1025327A784	1	6	4	5
ravage	15E79E1BDCA40241D5FE6651A2077621	1	2	8	4
brutal	1D420B59E8FA52FA98B2C1025327A784	1	6	7	3
safeguard	1D420B59E8FA52FA98B2C1025327A784	1	3	6	6
violent	1D420B59E8FA52FA98B2C1025327A784	1	6	6	4
defenestration	1D420B59E8FA52FA98B2C1025327A784	1	1	1	1
wound	E935E44C874CAA83E12C7E40BDF97DBD	1	3	5	1
protectionist	E935E44C874CAA83E12C7E40BDF97DBD	1	8	2	9
protector	E935E44C874CAA83E12C7E40BDF97DBD	1	9	2	9
ruin	4E0C798A73F016100353720FAA644B12	1	2	5	2
stomp	E935E44C874CAA83E12C7E40BDF97DBD	1	5	5	5
damage	E935E44C874CAA83E12C7E40BDF97DBD	1	2	5	1
abandon	4E0C798A73F016100353720FAA644B12	1	3	4	2
amity	4E0C798A73F016100353720FAA644B12	1	7	2	7
security	4E0C798A73F016100353720FAA644B12	1	7	2	8
defenestration	4E0C798A73F016100353720FAA644B12	1	5	5	3
cruelly	B439BD3CB1535E50C4C0662243C4134B	1	2	6	2
violence	B439BD3CB1535E50C4C0662243C4134B	1	2	8	1
crusher	B439BD3CB1535E50C4C0662243C4134B	1	1	6	3
amity	1A3C93478F821F54774A88612C46BF7B	1	5	5	5
peacetime	B439BD3CB1535E50C4C0662243C4134B	1	5	5	5
abuse	B439BD3CB1535E50C4C0662243C4134B	1	2	8	1
sympathy	1A3C93478F821F54774A88612C46BF7B	1	7	3	9
brutal	1A3C93478F821F54774A88612C46BF7B	1	2	5	1
fight	22F30BF330426F4477A0CCF7A6AFF93C	1	7	7	7
safeguard	22F30BF330426F4477A0CCF7A6AFF93C	1	8	6	6
benefit	0C7D1AE71B8634CEEE95416CCD28E812	1	6	6	7
violent	22F30BF330426F4477A0CCF7A6AFF93C	1	4	4	3
ruin	D6F12FBD96E07B40FE03E40D4F91D0C8	1	2	5	1
peacenik	D6F12FBD96E07B40FE03E40D4F91D0C8	1	5	5	8
peace	0C7D1AE71B8634CEEE95416CCD28E812	1	7	7	5
preserve	D6F12FBD96E07B40FE03E40D4F91D0C8	1	6	5	8
benefit	22F30BF330426F4477A0CCF7A6AFF93C	1	7	8	7
attack	22F30BF330426F4477A0CCF7A6AFF93C	1	6	7	8
compassion	0C7D1AE71B8634CEEE95416CCD28E812	1	7	4	6
empathy	D6F12FBD96E07B40FE03E40D4F91D0C8	1	6	5	8
safeguard	0C7D1AE71B8634CEEE95416CCD28E812	1	7	7	6
impair	D6F12FBD96E07B40FE03E40D4F91D0C8	1	3	5	3
violent	0C7D1AE71B8634CEEE95416CCD28E812	1	3	2	7
shelter	0C7D1AE71B8634CEEE95416CCD28E812	1	6	5	6
sympathetic	0C7D1AE71B8634CEEE95416CCD28E812	1	7	7	7
damage	0C7D1AE71B8634CEEE95416CCD28E812	1	4	3	3
destroy	56A99CDD4FBB62AE258F430EE5128D73	1	1	6	1
violent	56A99CDD4FBB62AE258F430EE5128D73	1	3	6	1
annihilation	56A99CDD4FBB62AE258F430EE5128D73	1	2	6	1
