word,score,freq
would,4.483056085300632,56574
people,7.144867512863129,41498
state,-2.245796518633142,29342
even,5.432843314047204,28988
could,4.104918220429681,24896
years,-1.1834081100532785,22449
also,3.699890447081998,21201
public,0.6088381166919135,21020
year,-5.844797274447046,20449
american,-0.4452412767568603,19433
political,2.765031379181892,18071
reason,5.162938891677186,18060
well,6.203639847924933,16549
right,4.425490205525421,15977
says,-0.506851876154542,15647
market,7.3913124210666865,15396
work,8.94869991671294,14336
money,8.106455100001767,14230
good,8.716252089943737,13784
since,0.0095131546258926,13668
book,1.2849698734935373,13220
long,2.4577033088717144,13014
think,9.168414040934294,12902
private,6.67774380883202,12890
made,2.40087280923035,12861
court,-4.05157577857608,12157
power,4.009036945644766,12010
life,9.10963732667733,11878
case,0.8819113441277295,11811
rights,4.228952223318629,11794
might,4.567603457951918,11716
still,7.646974146249704,11644
take,5.234137517632917,11532
city,-3.952504649758339,11389
another,0.0594460649881511,11162
must,5.096076133202587,10824
every,2.4557349032256752,10779
school,-0.2112219692207873,10729
country,3.1755741874221712,10629
high,3.0847259969450533,10466
united,0.1916770325042307,10395
america,1.7599249039776623,10314
back,-3.5041809868998826,10165
want,7.591307580063585,9972
york,-6.683511144248769,9965
million,-1.287875596433878,9831
drug,-1.4729106333106756,9649
three,-4.068270865711384,9567
know,7.891909807221964,9527
human,5.983234802726656,9387
health,0.628800915525062,9305
control,4.071368656586856,9235
party,-5.474791458196705,9173
part,4.07466547266813,9140
going,3.4802770600654185,9069
times,-3.033850584877655,8955
university,-5.35810695332475,8797
libertarian,-0.1497059881221503,8737
point,4.8981046906556,8621
example,1.3220193984452635,8444
society,8.962022833293304,8400
need,8.769951867405325,8372
found,0.87794248649152,8320
however,4.668980560963973,8297
children,4.621950605534948,8209
called,-3.45570742309792,8193
among,3.5168305607512598,8187
rather,6.65856708609499,8125
least,4.143851600587368,8113
used,4.324536905158311,8082
issue,-1.9003554317168887,8045
whether,5.410052312581684,7977
great,6.022122626658529,7938
problem,8.404809562722221,7915
come,5.651623097015545,7901
today,9.294866016658489,7771
service,1.6428598242346195,7761
something,8.757703801500611,7752
number,1.9915597725193948,7740
interest,6.501859942625742,7715
often,8.551151264458895,7678
americans,2.4909533655736595,7646
best,4.646090038586408,7602
left,0.7005929853767157,7586
based,2.081630395725369,7586
property,7.796557296765968,7579
group,-2.3414878668263555,7573
legal,4.024674023501575,7548
support,1.3545140293426812,7487
cost,6.719149081269279,7451
local,-2.026705546188168,7437
history,4.906067442847416,7353
california,-7.201265585841611,7316
important,7.166516241777572,7301
price,5.358434006491734,7279
self,5.490567663277034,7259
become,5.369785470888019,7251
small,5.032530078766285,7248
around,0.3780901180580258,7177
home,1.2110939017147755,7161
program,-1.6092059491202235,7145
find,8.288308574818075,7075
care,3.532519069034606,7024
women,1.663115705596283,6987
economy,7.588519290555268,6977
individual,8.709597582928836,6919
course,8.332163862709422,6879
told,-6.328225559554994,6838
trade,2.2536922867875546,6834
enough,7.033726913621649,6818
including,-1.7389220534823835,6786
making,5.108712431625463,6694
industry,2.7038138047792017,6663
different,6.499532560119405,6626
place,5.1945330877788365,6580
information,4.617701623123139,6575
change,3.645536303287372,6401
already,3.3349770195782185,6375
billion,-0.1568631567934062,6344
company,-2.7344697318039834,6338
companies,3.824651199160144,6332
spending,0.2760997300501913,6324
major,-0.9830721435137092,6320
john,-8.405421160161495,6304
ever,4.659083953883965,6293
future,4.145626175100915,6278
office,-11.0819729330251,6229
second,-2.1967713218182325,6212
several,-3.5904824853641912,6157
almost,5.2616428459296,6139
question,4.381101610139012,6096
order,1.0123372854432091,6092
force,2.2579986706841737,6055
former,-13.618617250816897,6031
story,-1.5006418698467314,6007
always,10.50619376031682,6003
thing,7.259597450494766,5997
large,5.361414385959506,5977
press,-8.570240468601696,5971
believe,8.970509877661243,5948
black,-1.2146008787676692,5941
study,-2.1951621347106998,5940
early,-7.16068314993754,5906
research,1.204843547893688,5872
defense,-0.7786222489085048,5855
anti,-1.875570920412429,5824
campaign,-11.855520009063184,5823
recent,-4.81203754642047,5821
justice,-3.661727764410898,5816
give,7.369837906560861,5815
foreign,1.1103412944357842,5796
simply,11.267977435141802,5789
actually,8.312541822670028,5778
later,-8.232150722993538,5747
likely,2.981572733493522,5717
next,-5.192295138607733,5694
seems,4.77569251449313,5691
help,5.822754311317112,5651
problems,8.55685109028127,5624
schools,5.322336311452091,5605
within,2.614157317439094,5569
rate,3.891577207308728,5559
services,3.40754159638891,5549
evidence,5.0900699069025,5541
show,1.5655855615623295,5541
person,5.346631380030885,5533
family,-0.7487865483853966,5530
military,-1.3306495854631066,5527
away,1.8556569633074105,5503
perhaps,7.395393086597323,5485
true,9.282236328581348,5472
process,3.776147128082812,5378
although,2.683472679869737,5362
result,6.629290270386264,5356
nation,0.2032516449689865,5346
look,5.693852455355227,5333
makes,5.363800060702488,5310
keep,7.297383248806,5302
hard,5.878893299610354,5291
four,-4.867709229467437,5283
media,-2.313484754180536,5281
members,-6.18801551964134,5263
whose,-0.1800894862390123,5262
action,-1.049362340476364,5258
cannot,7.7301898647565395,5239
groups,2.3814884193707258,5226
sense,11.901886878535151,5220
union,-5.215712568257004,5207
came,-5.217292089597322,5196
century,1.6426298677106388,5180
past,0.8525809471029788,5178
land,6.110327680944465,5149
possible,7.063457764219493,5144
thought,7.55697904387489,5116
civil,-3.373481832444668,5089
value,13.819164157146588,5080
science,2.9175098661798984,5079
view,8.912445387686603,5075
programs,4.163196214009076,5052
medical,1.7297679593903013,5050
plan,-3.517379886005074,5037
clinton,-10.082043085014448,5035
students,1.5313180641969666,5015
rates,5.404074201826006,5013
article,-3.238372375955805,4965
cases,2.336812953697517,4953
thus,7.550381668494083,4931
days,-4.589734959357884,4929
politics,3.3010797621682286,4928
five,-3.5914935055188835,4898
half,1.4671987243928015,4814
prices,6.758485307451338,4803
either,7.18038702220656,4786
term,1.80498182377778,4782
level,6.670811195624992,4781
budget,-6.663127089297632,4773
increase,3.032378304633312,4771
clear,3.0516617881366983,4761
personal,6.4104112717323005,4755
liberty,4.75960388337262,4748
wrote,-5.237512118299492,4731
especially,5.338002086849883,4715
current,0.9253403211478144,4714
books,1.5363932738546282,4706
drugs,4.82362447027117,4699
growth,6.884862408041954,4696
gold,3.653306085354416,4654
movement,0.5612598225125112,4651
labor,2.6945218555629253,4645
soviet,-1.0241911760531366,4637
indeed,7.843352323106956,4632
toward,3.335596653225366,4630
amendment,-1.519952275790274,4626
workers,1.352717525092885,4606
moral,8.894633724121377,4601
community,3.918866860331036,4597
done,6.789759021718055,4577
matter,5.573531657224521,4573
young,0.2514870236627757,4573
working,3.152057274593972,4570
ideas,8.350911739747971,4566
issues,0.5281522220466286,4559
data,2.699179608549457,4550
able,5.471882549114525,4546
deal,1.8924758085049689,4544
live,8.272173212142661,4501
countries,6.047306205844507,4499
took,-5.945330274174921,4492
third,1.5414680168032646,4453
individuals,8.942579844268039,4448
certain,9.221018084324896,4440
common,7.5594744947738945,4429
open,1.743627761781681,4360
using,4.544077483471483,4360
known,1.2687271644826978,4360
effect,4.263250058051199,4357
choice,6.891299279406667,4352
anyone,5.225604343460873,4333
anything,8.230973914032802,4321
form,9.887158239958808,4318
probably,6.216116891242564,4317
food,3.5757848381181248,4308
provide,7.856904975837097,4264
rules,2.749651884660125,4253
agency,-4.359929835423827,4243
recently,-10.015597386227457,4241
conservative,-5.3136368750128895,4239
read,2.9705694460426457,4228
decision,-5.151544634718448,4224
full,0.4152260589471552,4214
whole,7.3389501119963825,4207
call,-0.6604744193609804,4184
